slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
1583,AR/WS/82L16/2022/079,Arunachal Pradesh,West Siang Jomlo-Mongku Slide 2 NH-13,28.208389,94.830667,Debris Slide NA,1583 AR/WS/82L16/2022/079 Arunachal Pradesh West Siang Jomlo-Mongku Slide 2 NH-13 28.208389 94.830667 Debris Slide NA
1608,AR/WS/82L16/2022/081,Arunachal Pradesh,West Siang Damda-Debuk Slide 1 NH-13,28.225583,94.889167,Debris Slide NA,1608 AR/WS/82L16/2022/081 Arunachal Pradesh West Siang Damda-Debuk Slide 1 NH-13 28.225583 94.889167 Debris Slide NA
1609,AR/WS/82L16/2022/082,Arunachal Pradesh,West Siang Damda-Debuk Slide 2 NH-13,28.226722,94.895611,Soil Slide NA,1609 AR/WS/82L16/2022/082 Arunachal Pradesh West Siang Damda-Debuk Slide 2 NH-13 28.226722 94.895611 Soil Slide NA
1610,AR/S/82P04/2022/031,Arunachal Pradesh,Siang South of Jeru Slide 3 NH-13,28.22675,94.225111,Debris slide NA,1610 AR/S/82P04/2022/031 Arunachal Pradesh Siang South of Jeru Slide 3 NH-13 28.22675 94.225111 Debris slide NA
1612,AP/ES/82P12/2022/76,Arunachal Pradesh,East Siang From Bomjir 17.6 kms along NH-13 towards Pasighat NH-313 (Roing-Pasighat road),28.227891,95.541082,Debris Slide NA,1612 AP/ES/82P12/2022/76 Arunachal Pradesh East Siang From Bomjir 17.6 kms along NH-13 towards Pasighat NH-313 (Roing-Pasighat road) 28.227891 95.541082 Debris Slide NA
1614,AR/WS/82L16/2022/083,Arunachal Pradesh,West Siang Damda-Debuk Slide 3 NH-13,28.228528,94.904278,Soil Slide NA,1614 AR/WS/82L16/2022/083 Arunachal Pradesh West Siang Damda-Debuk Slide 3 NH-13 28.228528 94.904278 Soil Slide NA
1618,AR/WS/82L16/2022/084,Arunachal Pradesh,West Siang Damda-Debuk Slide 4 NH-13,28.232472,94.914889,Soil Slide NA,1618 AR/WS/82L16/2022/084 Arunachal Pradesh West Siang Damda-Debuk Slide 4 NH-13 28.232472 94.914889 Soil Slide NA
1620,AR/WS/82L16/2022/087,Arunachal Pradesh,West Siang Koreng-Aalo road Slide 3 NH-13,28.234833,94.972278,Rock Slide NA,1620 AR/WS/82L16/2022/087 Arunachal Pradesh West Siang Koreng-Aalo road Slide 3 NH-13 28.234833 94.972278 Rock Slide NA
1621,AR/WS/82L16/2022/085,Arunachal Pradesh,West Siang Koreng-Aalo road Slide 1 NH-13,28.235361,94.933333,Soil Slide NA,1621 AR/WS/82L16/2022/085 Arunachal Pradesh West Siang Koreng-Aalo road Slide 1 NH-13 28.235361 94.933333 Soil Slide NA
1623,AR/WS/82L16/2022/086,Arunachal Pradesh,West Siang Koreng-Aalo road Slide 2 NH-13,28.237361,94.954808,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,1623 AR/WS/82L16/2022/086 Arunachal Pradesh West Siang Koreng-Aalo road Slide 2 NH-13 28.237361 94.954808 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History
1625,AP/ES/82P12/2022/79,Arunachal Pradesh,East Siang From Bomjir 16 kms along NH-13 towards Pasighat NH-313 (Roing-Pasighat road),28.237716,95.535611,Debris Slide NA,1625 AP/ES/82P12/2022/79 Arunachal Pradesh East Siang From Bomjir 16 kms along NH-13 towards Pasighat NH-313 (Roing-Pasighat road) 28.237716 95.535611 Debris Slide NA
1637,AP/ES/82P12/2022/80,Arunachal Pradesh,East Siang From Bomjir 15.5 kms along NH-13 towards Pasighat NH-313 (Roing-Pasighat road),28.242444,95.536828,Rock Fall NA,1637 AP/ES/82P12/2022/80 Arunachal Pradesh East Siang From Bomjir 15.5 kms along NH-13 towards Pasighat NH-313 (Roing-Pasighat road) 28.242444 95.536828 Rock Fall NA
